# BAM files: ~/data/SOC/SOC-2745-226696.bam, ~/data/SOC/SOC-2774-227362.bam, ~/data/SOC/SOC-5936-294158.bam, ~/data/SOC/SOC-6075-291944.bam, ~/data/SOC/SOC-6752-315581.bam, ~/data/SOC/SOC-7165-343100.bam, ~/data/SOC/SOC-7637-361542.bam, ~/data/SOC/SOC-7777-371281.bam, ~/data/SOC/SOC-8272-401299.bam, ~/data/SOC/SOC-11199-480891.bam, ~/data/SOC/SOC-849-206653.bam, ~/data/SOC/SOC-1255-501160.bam, ~/data/SOC/SOC-2427-221981.bam, ~/data/SOC/SOC-2674-224814.bam, ~/data/SOC/SOC-2742-225553.bam, ~/data/SOC/SOC-4808-260525.bam, ~/data/SOC/SOC-5439-266610.bam, ~/data/SOC/SOC-5606-277617.bam, ~/data/SOC/SOC-5653-277626.bam, ~/data/SOC/SOC-5691-278006.bam
# phenotypes: chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive
# total alignments: 14612031, 106336729, 18330606, 112217237, 14635266, 15379488, 12814697, 13461028, 17491779, 16221093, 14494734, 13801318, 14949521, 18045259, 17407390, 15334240, 14903259, 13804476, 18588809, 18601214
# annotations: /home/cwarth/R/x86_64-unknown-linux-gnu-library/3.0/qarp/python/hg19-refSeq-union.gtf
# gene count: 16897
# interactive: FALSE
# commandline: --genefile /home/cwarth/data/SOC/genelist.txt
# date: 2013-11-15 09:48:38
gene	raw	rpm	area
HK1	0.496	0.342	0.102
NRP1	0.731	0.735	0.491
SNX19	0.263	0.513	0.01
MAZ	0.178	0.826	0.233
NDUFA13	0.242	0.738	0.046
PHC1	0.112	0.165	0.021
SRSF2IP	0.395	0.162	0.076
LAMP1	0.094	0.388	0.069
CCT2	0.294	0.583	0.03
TEAD1	0.037	0.285	0.128
IFIH1	0.121	0.06	0.043
ID4	0.467	0.15	0.14
PSME2	0.074	0.026	0.135
DHX9	0.487	0.041	0.084
CDC42BPB	0.457	0.104	0.058
MIR3610:RAD21	0.589	0.003	0.144
RAD23B	0.354	0.029	0.011
TGM2	0.179	0.356	0.104
NOTCH2	0.177	0.707	0.019
CDH3	0.262	0.659	0.163
CLDN7	0.339	0.197	0.032
DNM2:MIR638	0.046	0.53	0.145
DDX3X	0.622	0.047	0.244
LAP3	0.046	0.01	0.072
IGFBP3	0.004	0.047	0.066
LRPPRC	0.402	0.192	0.235
ZNF512B	0.38	0.503	0.077
CELF1	0.338	0.484	0.23
PIGT	0.166	0.545	0.016
IDH2	0.484	0.029	0.189
ATXN2L	0.334	0.413	0.08
MATR3:SNHG4:SNORA74A	0.358	0.278	0.209
OPTN	0.866	0.034	0.225
NACC1	0.14	0.602	0.087
OAZ1	0.403	0.125	0.085
CHD2:MIR3175	0.408	0.061	0.06
SLC39A1	0.277	0.31	0.029
DDX6	0.393	0.324	0.092
RBM25	0.687	0.063	0.433
CST3	0.296	0.638	0.037
NDUFA10	0.225	0.424	0.035
SUPT6H	0.252	0.261	0.027
COPB2	0.591	0.004	0.274
PPP2R4	0.328	0.149	0.01
ESYT2	0.269	0.302	0.032
SFPQ	0.539	0.033	0.295
GRN	0.328	0.465	0.182
TRIM14	0.642	0.28	0.659
DDR1	0.551	0.007	0.008
TM4SF1	0.174	0.028	0.331
ARHGAP4	0.177	0.614	0.023
EID3:TXNRD1	0.444	0.177	0.059
LRP10	0.286	0.375	0.059
RTN3	0.28	0.949	0.778
CSDA	0.562	0.339	0.139
ARPC2	0.351	0.034	0.025
GLG1	0.377	0.245	0.059
PTPN11	0.389	0.199	0.07
CLSTN3	0.121	0.373	0.018
DUSP1	0.102	0.163	0.005
ATP5E	0.488	0.004	0.105
SERBP1	0.461	0.004	0.177
ANP32B	0.476	0.039	0.115
CCT6A:SNORA15	0.347	0.472	0.234
SLPI	0.259	0.923	0.311
ARID1A	0.045	0.133	0.128
AK2	0.314	0.244	0.178
NONO	0.388	0.194	0.019
FAM129B	0.611	0.207	0.061
VIM	0.028	0.1	0.053
APEH	0.177	0.768	0.398
PSMB4	0.208	0.869	0.282
MIR3615:SLC9A3R1	0.415	0.417	0.014
KIF5B	0.642	0.1	0.372
ATP5J2:ATP5J2-PTCD1:PTCD1	0.57	0.006	0.052
MTHFD2	0.192	0.013	0.038
SAMD9	0.117	0.09	0.231
MIR548F1:PDC:TPR	0.433	0.067	0.216
QARS	0.152	0.425	0.033
MIR1225:PKD1	0.016	0.083	0.031
NOLC1	0.423	0.226	0.383
PUM2	0.22	0.591	0.118
KIAA0284	0.589	0.189	0.143
NDUFA9	0.299	0.366	0.052
STT3A	0.476	0.223	0.04
USP9X	0.267	0.021	0.033
LENG8	0.146	0.595	0.04
SOD1	0.57	0.288	0.285
EML4	0.048	0.371	0.085
HTRA1	0.002	0.025	0.072
EXOC7	0.268	0.316	0.103
SETD5	0.371	0.291	0.135
ARL4C	0.593	0.6	0.141
JTB	0.327	0.319	0.052
PCDHGA1:PCDHGA10:PCDHGA11:PCDHGA12:PCDHGA2:PCDHGA3:PCDHGA4:PCDHGA5:PCDHGA6:PCDHGA7:PCDHGA8:PCDHGA9:PCDHGB1:PCDHGB2:PCDHGB3:PCDHGB4:PCDHGB5:PCDHGB6:PCDHGB7:PCDHGB8P:PCDHGC3:PCDHGC4:PCDHGC5	0.025	0.175	0.212
COL6A1	0.001	0.006	0.16
SMG7	0.379	0.156	0.172
PA2G4	0.695	0.084	0.056
PTPRA:VPS16	0.379	0.144	0.118
USP7	0.227	0.688	0.163
NFE2L1	0.178	0.414	0.14
EPPK1	0.723	0.125	0.121
REPIN1	0.383	0.255	0.04
DCN	0.128	0.292	0.286
CDK4	0.175	0.425	0.532
RBCK1	0.572	0.04	0.062
FAM120A	0.477	0.054	0.063
PCDH1	0.704	0.498	0.174
ASPH	0.238	0.891	0.672
HK2	0.359	0.503	0.199
HADHA	0.142	0.353	0.039
TACSTD2	0.15	0.556	0.041
CHD8:SNORD8:SNORD9	0.434	0.225	0.174
NLRC5	0.19	0.151	0.046
NUP98	0.107	0.434	0.059
SSRP1	0.336	0.344	0.194
BRD4	0.017	0.159	0.283
C12orf51	0.171	0.4	0.06
DSG2	0.517	0.179	0.028
CLTC	0.604	0.102	0.111
GHITM	0.332	0.017	0.124
EIF5:SNORA28	0.662	0.008	0.209
FAM168B	0.147	0.103	0.062
HGS	0.359	0.291	0.034
HNRNPUL1	0.443	0.052	0.278
OGT	0.241	0.957	0.543
XPOT	0.406	0.678	0.074
ATP1A3	0.1	0.48	0.82
CALU	0.376	0.326	0.293
ERC1	0.196	0.47	0.044
DNAJC5:MIR941-1:MIR941-2:MIR941-3	0.333	0.302	0.167
FAM83H	0.54	0.172	0.161
ERGIC3	0.115	0.375	0.056
TBC1D9B	0.137	0.606	0.024
ECHS1:MIR3944	0.306	0.644	0.543
NBEAL2	0.4	0.504	0.307
MYC	0.655	0.059	0.105
ACO2	0.479	0.25	0.075
DDX21	0.598	0.211	0.355
NFIB	0.057	0.315	0.247
SP100	0.199	0.025	0.016
MLLT6	0.153	0.601	0.135
PRKCI	0.675	0.022	0.151
SHC1	0.062	0.411	0.056
SEMA3B	0.584	0.862	0.45
CRB2	0.046	0.148	0.017
GBF1	0.098	0.419	0.021
CFB	0.122	0.001	0.029
PRPF6	0.531	0.095	0.193
SCD	0.713	0.03	0.092
CTSC	0.292	0.758	0.235
PDCD11	0.32	0.61	0.22
ARHGDIA	0.55	0.249	0.047
RALY	0.142	0.63	0.065
FLII	0.373	0.243	0.117
IFI16	0.288	0.027	0.194
PPT1	0.3	0.421	0.064
POLR2L	0.005	0.145	0.531
SDF4	0.092	0.629	0.15
STAT3	0.615	0.015	0.068
TPM2	0.712	0.71	0.123
TMPO	0.456	0.137	0.174
EIF3E	0.848	0.138	0.587
ENAH	0.243	0.522	0.042
PIK3R2	0.135	0.496	0.109
SPEN	0.089	0.281	0.016
OBSL1	0.035	0.163	0.058
HLA-DRA	0.063	0.019	0.008
CDV3	0.448	0.036	0.067
CPE:MIR578	0.365	0.399	0.098
IPO9	0.239	0.538	0.059
MGEA5	0.334	0.335	0.144
TOMM34	0.033	0.119	0.037
GNB2	0.28	0.591	0.035
PTCD3:SNORD94	0.383	0.323	0.506
MIR3138:WDR1	0.632	0.128	0.272
STRAP	0.487	0.229	0.074
CREG1	0.29	0.773	0.473
CYC1	0.285	0.003	0.254
TRAF7	0.1	0.421	0.121
TYK2	0.014	0.274	0.098
MIR937:SCRIB	0.688	0.135	0.151
CCT8	0.496	0.14	0.905
FADS2	0.383	0.842	0.357
NR2F6	0.14	0.377	0.017
CHCHD2	0.048	0.215	0.151
PTGES2	0.468	0.861	0.101
ARHGEF2	0.254	0.521	0.162
TCF20	0.25	0.547	0.232
PLOD2	0.551	0.852	0.703
ST3GAL1	0.421	0.248	0.068
THRAP3	0.47	0.02	0.11
KIAA0664	0.549	0.197	0.126
ATP5L	0.42	0.449	0.17
SMPD4	0.402	0.45	0.602
CTNNA1	0.352	0.251	0.058
SMARCC1	0.445	0.069	0.028
CIC	0.208	0.644	0.056
RAVER1	0.017	0.196	0.052
SRSF9	0.45	0.06	0.056
TNRC18	0.018	0.108	0.051
ADNP	0.422	0.128	0.197
ATP1B1	0.642	0.36	0.096
MPZL1	0.189	0.44	0.016
TRIP12	0.45	0.093	0.405
SYNPO	0.023	0.234	0.199
MGRN1	0.011	0.095	0.215
RAB13	0.51	0.081	0.049
IARS2	0.48	0.204	0.421
AP3D1	0.112	0.583	0.012
PRDX2	0.058	0.203	0.057
CHPF	0.011	0.11	0.606
PI4KB	0.017	0.036	0.466
HNRNPL	0.446	0.026	0.063
POGZ	0.115	0.122	0.092
RCC2	0.346	0.348	0.056
SLC25A5	0.191	0.002	0.013
GALNT2	0.292	0.318	0.038
FST	0.471	0.61	0.13
SRSF5	0.333	0.17	0.074
CTBP2:MIR4296	0.025	0.074	0.03
SRP9	0.678	0.062	0.785
RMND5A	0.287	0.659	0.173
SNRPD2	0.318	0.372	0.185
HNRNPM	0.481	0.047	0.062
NFKB2	0.239	0.353	0.097
UPF1	0.176	0.598	0.129
CSE1L	0.699	0.089	0.109
HCFC1	0.161	0.446	0.105
IER2	0.119	0.477	0.044
CSNK1A1	0.322	0.272	0.086
DBN1	0.192	0.779	0.088
IL6ST	0.038	0.285	0.228
PCNXL3	0.246	0.593	0.149
GLYR1	0.056	0.333	0.082
PLEKHB2	0.325	0.042	0.013
EIF3H	0.742	0.075	0.146
CDK16	0.275	0.876	0.206
ZBED6:ZC3H11A	0.384	0.22	0.119
COL6A2	0.001	0.006	0.083
DBNL	0.23	0.512	0.046
IRF9	0.361	0.321	0.005
ITM2B	0.115	0.595	0.225
PPDPF	0.308	0.82	0.046
RBM39	0.223	0.817	0.327
MSN	0.444	0.055	0.018
NOP2	0.218	0.923	0.464
WBP2	0.226	0.303	0.026
MRPS7	0.475	0.293	0.078
LOC388152	0.126	0.514	0.184
COX5B	0.373	0.339	0.171
FHL2	0.022	0.042	0.37
C2orf88	0.769	0.095	0.349
MORF4L1	0.388	0.113	0.195
MAL2	0.471	0.078	0.279
PTP4A2	0.496	0.125	0.253
BHLHE41	0.696	0.301	0.484
PKP3	0.261	0.868	0.09
VGLL4	0.035	0.172	0.039
KHDRBS1	0.313	0.274	0.161
LUM	0.333	0.483	0.245
MARCKSL1	0.325	0.565	0.076
ORC4	0.164	0.359	0.197
PLEKHG5:TNFRSF25	0.042	0.258	0.153
CD59	0.372	0.794	0.672
MEIS1	0.363	0.45	0.185
MTA2	0.361	0.081	0.005
IARS:MIR3651:SNORA84	0.671	0.028	0.243
UBE2H	0.587	0.019	0.544
EIF3F	0.012	0.148	0.02
MFN2	0.089	0.384	0.004
DLST	0.31	0.192	0.013
MRPL4	0.019	0.364	0.073
EIF3M	0.855	0.142	0.548
FKBP8	0.032	0.112	0.044
SLC7A5	0.322	0.792	0.037
USP22	0.181	0.414	0.112
CALM2	0.624	0.098	0.137
SERINC3	0.085	0.386	0.023
ZYX	0.327	0.618	0.014
ARL6IP4	0.203	0.792	0.326
NFIX	0.053	0.475	0.105
GRINA	0.696	0.043	0.143
MYL12B	0.681	0.101	0.472
TWF1	0.485	0.128	0.522
SRSF6	0.442	0.137	0.214
UQCRB	0.364	0.031	0.082
NPC2	0.531	0.052	0.176
ERBB2	0.27	0.51	0.074
GSN	0.445	0.191	0.103
MCM7:MIR106B:MIR25:MIR93	0.421	0.245	0.008
EIF3L	0.847	0.52	0.035
AES	0.199	0.528	0.037
CDK2AP1	0.514	0.275	0.02
KDM5C	0.753	0.216	0.228
RBM5	0.084	0.34	0.108
PBXIP1	0.005	0.01	0.044
DIDO1	0.348	0.301	0.112
C20orf11	0.577	0.105	0.044
CD46	0.34	0.147	0.023
DDX60	0.187	0.126	0.502
MIR604:MIR938:SVIL	0.377	0.601	0.064
GFPT1	0.28	0.401	0.004
HLTF	0.551	0.261	0.502
PDXK	0.043	0.595	0.28
SP1	0.458	0.118	0.211
TOP2B	0.446	0.127	0.048
PBX1	0.185	0.427	0.008
HNRNPR	0.394	0.139	0.216
HS6ST1	0.298	0.754	0.04
PDIA6	0.477	0.111	0.101
P4HA1	0.472	0.549	0.269
TP53BP1	0.323	0.371	0.069
NUCB1	0.533	0.079	0.086
DYNC1LI2	0.271	0.389	0.053
STAU1	0.415	0.108	0.161
PDXDC1	0.321	0.708	0.017
SRRT	0.409	0.077	0.138
TXLNA	0.183	0.63	0.067
GOLGB1	0.428	0.042	0.068
GPT2	0.717	0.232	0.123
IRF7	0.338	0.824	0.026
MCM4	0.463	0.489	0.041
PYGB	0.305	0.427	0.126
LRP6	0.112	0.486	0.368
MLL	0.229	0.415	0.053
EIF5B	0.554	0.125	0.399
TPX2	0.59	0.233	0.078
HEATR1	0.345	0.562	0.293
MTRNR2L1	0.139	0.134	0.385
MIR636:SRSF2	0.517	0.006	0.052
RBM15B	0.167	0.432	0.118
YWHAG	0.38	0.162	0.061
AMOTL2	0.132	0.405	0.008
SLC3A2	0.428	0.039	0.02
ZNF703	0.03	0.059	0.23
PSMA7	0.477	0.014	0.004
RHOF	0.005	0.025	0.433
LGR4	0.603	0.525	0.142
EBLN2:PPP4R2	0.435	0.38	0.246
NPLOC4	0.65	0.079	0.059
NUP205	0.609	0.012	0.052
ARID2	0.145	0.405	0.056
ZNF462	0.048	0.212	0.033
SEPN1	0.008	0.028	0.273
CKB	0.196	0.646	0.348
KIAA0195	0.059	0.266	0.114
PDE4DIP	0.831	0.914	0.369
TAP2	0.012	0.001	0.044
CTSZ	0.463	0.3	0.322
MLXIP	0.008	0.104	0.158
PROM2	0.156	0.307	0.323
USP4	0.227	0.539	0.082
JUND	0.029	0.118	0.026
LGALS1	0.194	0.576	0.312
IFI44L	0.036	0.008	0.596
LYPD1	0.249	0.107	0.268
YKT6	0.226	0.518	0.122
C10orf18	0.46	0.051	0.027
PTPLAD1	0.325	0.502	0.093
COL6A3	0.092	0.204	0.543
EPN1	0.073	0.443	0.033
ST5	0.014	0.137	0.005
XRCC6	0.498	0.025	0.082
C9orf16	0.159	0.588	0.011
RBBP7	0.75	0.112	0.604
SLC4A2	0.351	0.311	0.287
TBCD	0.465	0.258	0.018
AP1G2:JPH4	0.073	0.504	0.175
ATP2B1	0.541	0.041	0.285
STX16	0.459	0.032	0.061
IVD	0.272	0.727	0.138
PAPOLA	0.436	0.054	0.143
SDHC	0.321	0.166	0.031
DNAJC11	0.199	0.407	0.035
GOLGA2	0.291	0.178	0.037
HMGN1	0.655	0.041	0.186
GART	0.527	0.072	0.129
IFIT2	0.087	0.042	0.61
MECOM	0.391	0.171	0.026
TRIM8	0.115	0.368	0.03
CENPF	0.511	0.487	0.174
DENND4B	0.082	0.428	0.224
LUC7L3	0.252	0.694	0.362
SAMD9L	0.04	0.02	0.47
TMPRSS3	0.087	0.375	0.054
TRIM44	0.394	0.18	0.253
SPINT1	0.456	0.343	0.172
LTBR	0.088	0.31	0.034
SPP1	0.74	0.307	0.046
SYNGR2	0.406	0.285	0.195
APH1A	0.405	0.688	0.096
MTRNR2L6	0.297	0.781	0.22
UCP2	0.053	0.001	0.438
ATP5C1	0.509	0.023	0.113
LRP5	0.145	0.734	0.189
ACTR3	0.644	0.017	0.151
EVPL	0.768	0.333	0.661
LCN2	0.75	0.961	0.091
PPA1	0.045	0.001	0.14
PFDN5	0.041	0.405	0.083
PPP2CB	0.031	0.085	0.071
RBM14:RBM14-RBM4:RBM4	0.301	0.386	0.04
MT2A	0.864	0.785	0.175
ATP5G2	0.339	0.482	0.176
DNM1L	0.546	0.056	0.458
PSAT1	0.647	0.252	0.147
JAG1	0.595	0.174	0.217
PTBP1	0.4	0.095	0.023
PTK2	0.525	0.004	0.015
DYNLL1	0.463	0.02	0.09
PTTG1IP	0.334	0.155	0.047
ATP2C1	0.483	0.098	0.635
MIR1266:MYO5C	0.569	0.321	0.211
SERP1	0.71	0.004	0.407
SLC15A3	0.615	0.502	0.148
GBP1	0.042	0.004	0.113
CLPTM1	0.137	0.754	0.086
CPSF1:MIR1234:MIR939	0.671	0.047	0.339
MTDH	0.343	0.004	0.102
MIR15B:MIR16-2:SMC4	0.521	0.101	0.159
SRSF1	0.477	0.069	0.06
TCIRG1	0.58	0.528	0.029
TRIP6	0.257	0.699	0.004
MCM2	0.313	0.644	0.077
UACA	0.293	0.526	0.188
CDK18	0.055	0.498	0.029
LASP1	0.128	0.372	0.104
RBMX:SNORD61	0.368	0.22	0.135
TM9SF3	0.663	0.059	0.275
PPP1R14B	0.359	0.404	0.358
AUP1	0.217	0.705	0.441
CEBPD	0.138	0.432	0.084
GIPC1	0.107	0.481	0.002
RALBP1	0.671	0.061	0.134
TCOF1	0.109	0.796	0.214
ATP5G3	0.516	0.03	0.27
MIR1292:NOP56:SNORA51:SNORD110:SNORD56:SNORD57:SNORD86	0.458	0.012	0.004
C9orf5:MIR32	0.585	0.356	0.071
KIF1C	0.198	0.529	0.032
MARCH6	0.609	0.045	0.247
PUM1:SNORD103A:SNORD103B:SNORD85	0.27	0.282	0.037
TARDBP	0.304	0.279	0.136
CYFIP1	0.516	0.096	0.141
UBR5	0.788	0.001	0.122
PITRM1	0.486	0.074	0.006
TOR1AIP2	0.219	0.305	0.207
COX5A	0.336	0.022	0.02
PICALM	0.203	0.358	0.112
ESPN	0.098	0.468	0.367
MAGED1	0.415	0.256	0.02
MAN2C1	0.119	0.41	0.057
RNPEPL1	0.133	0.676	0.051
VEGFA	0.669	0.029	0.279
EIF2S2	0.745	0.057	0.2
PARK7	0.398	0.192	0.068
SIN3A	0.357	0.386	0.04
TPCN1	0.033	0.276	0.01
C6orf106	0.605	0.983	0.032
HECTD1	0.51	0.019	0.289
SBNO1	0.219	0.341	0.004
ADRM1	0.204	0.752	0.301
HP1BP3	0.21	0.556	0.159
LONRF2	0.455	0.374	0.051
AZIN1	0.698	0.007	0.09
C16orf53:MVP	0.182	0.576	0.303
COPB1	0.373	0.49	0.112
LMAN2	0.203	0.606	0.378
NCSTN	0.267	0.36	0.003
SPTLC2	0.281	0.309	0.19
ZBTB4	0.045	0.156	0.04
FKBP1A	0.483	0.003	0.073
PUF60	0.541	0.098	0.134
WDR26	0.494	0.081	0.158
TRAFD1	0.262	0.706	0.055
EIF3G	0.002	0.154	0.026
METAP2	0.623	0.086	0.337
TOP1	0.48	0.003	0.166
CDC42	0.111	0.763	0.322
HDAC1	0.297	0.437	0.105
KARS	0.538	0.086	0.082
PLXNA1	0.041	0.34	0.024
RAB1B	0.289	0.258	0.047
SLC25A25	0.191	0.438	0.148
MCM3AP	0.07	0.555	0.217
ATP9A	0.351	0.554	0.133
EZR	0.248	0.919	0.134
IPO5	0.132	0.488	0.125
LPCAT3	0.209	0.869	0.43
YEATS2	0.302	0.386	0.014
ARHGAP26	0.331	0.144	0.065
CNPY2:PAN2	0.368	0.638	0.296
MT1E	0.696	0.726	0.15
SLC12A7	0.141	0.585	0.051
TARS	0.653	0.032	0.227
ADIPOR2	0.304	0.43	0.11
TMOD3	0.3	0.437	0.098
HIF1A	0.698	0.072	0.232
LMNB2	0.389	0.304	0.114
YME1L1	0.31	0.491	0.161
CSRP1	0.146	0.592	0.125
EIF4EBP2	0.237	0.481	0.154
FKBP9	0.112	0.176	0.176
FXR1	0.452	0.195	0.128
LTA4H	0.054	0.461	0.091
KLHL14	0.333	0.463	0.03
BTF3	0.171	0.734	0.036
KIAA0368	0.106	0.009	0.477
ALDH2	0.115	0.355	0.044
GTF2I	0.292	0.615	0.118
HNRNPH3	0.594	0.206	0.367
LCP1	0.079	0.035	0.536
RECQL5	0.127	0.572	0.371
DCBLD2	0.346	0.441	0.111
SNORD41:TNPO2	0.117	0.544	0.194
GATAD2A	0.048	0.313	0.169
IVNS1ABP	0.518	0.046	0.186
MAN2B1	0.097	0.405	0.039
PILRB	0.431	0.127	0.004
C14orf43	0.073	0.429	0.087
IL4I1:NUP62	0.365	0.114	0.295
ATF4	0.436	0.005	0.003
CDK11A:CDK11B:SLC35E2B	0.46	0.677	0.778
CRIP2	0.592	0.314	0.203
PKP2	0.455	0.106	0.257
SART3	0.344	0.277	0.038
C3orf10	0.471	0.199	0.134
LONP1	0.142	0.528	0.087
CDK5RAP2	0.364	0.334	0.031
VDAC2	0.549	0.066	0.066
DROSHA	0.593	0.254	0.112
HM13:PSIMCT-1	0.372	0.322	0.087
CCNL2	0.193	0.772	0.053
ICMT	0.281	0.362	0.185
KHNYN	0.086	0.486	0.208
ZNF217	0.567	0.142	0.054
DVL3	0.214	0.484	0.011
PFKM	0.325	0.795	0.079
TIMP3	0.034	0.233	0.064
ADD3	0.583	0.099	0.241
AKAP9	0.522	0.467	0.354
AIF1L	0.656	0.382	0.104
MIR218-2:MIR585:SLIT3	0.028	0.067	0.071
ULK1	0.257	0.494	0.002
MED13L:MIR620	0.084	0.296	0.065
SGPL1	0.428	0.05	0.092
TP53	0.171	0.468	0.036
LDB1	0.038	0.177	0.008
ANKLE2	0.341	0.266	0.053
EIF3B	0.485	0.051	0.049
FLOT2	0.302	0.232	0.001
H1FX	0.124	0.569	0.106
RER1	0.277	0.305	0.016
RSL1D1	0.339	0.383	0.129
ARL6IP1	0.58	0.001	0.214
RANGAP1	0.376	0.168	0.018
PHIP	0.576	0.154	0.588
HDAC7	0.285	0.307	0.059
KLK7	0.951	0.036	0.401
YWHAQ	0.452	0.3	0.168
GALNT3	0.618	0.395	0.166
IFITM2	0.652	0.803	0.123
ARHGEF17	0.174	0.406	0.1
ATP5O	0.201	0.81	0.149
BNIP3	0.039	0.166	0.286
CYBA	0.092	0.011	0.061
PTPN23	0.105	0.532	0.02
RDH11	0.528	0.234	0.147
WASF2	0.071	0.211	0.08
LOC440300	0.141	0.492	0.499
TNFRSF1A	0.195	0.75	0.108
TP53I11	0.043	0.187	0.125
C20orf24:TGIF2:TGIF2-C20ORF24	0.461	0.015	0.195
RAB1A	0.473	0.027	0.196
SEMA4B	0.208	0.779	0.054
HNRNPAB	0.513	0.042	0.109
MRPL38	0.186	0.746	0.113
RNF207	0.067	0.312	0.13
MTHFD1	0.703	0.053	0.007
TTPAL	0.048	0.131	0.065
ZNF618	0.407	0.213	0.035
PTRF	0.002	0.028	0.061
SSR4	0.522	0.454	0.33
ZC3H7B	0.234	0.337	0.008
CORO1C	0.437	0.408	0.428
DCTN1	0.196	0.412	0.08
ZNF503	0.472	0.146	0.067
AP2A1	0.265	0.299	0.001
CFH	0.141	0.236	0.572
MICAL3:MIR648	0.305	0.444	0.047
PTPN14	0.133	0.36	0.024
TSC2	0.075	0.328	0.389
EMX2	0.374	0.342	0.143
POR:SNORA14A	0.232	0.616	0.063
MGAT4B:MIR1229	0.28	0.533	0.063
AACS	0.164	0.779	0.064
LAMB3:MIR4260	0.179	0.852	0.082
EIF3I	0.259	0.379	0.021
GPR56	0.553	0.151	0.508
CBL	0.174	0.45	0.03
SSU72	0.36	0.4	0.351
TTC3	0.178	0.74	0.206
ATF7IP	0.197	0.463	0.041
C1orf144	0.232	0.278	0.065
CSNK2A1	0.477	0.039	0.009
DNAJC10	0.475	0.166	0.334
HCLS1	0.625	0.538	0.024
WAC	0.35	0.237	0.097
CYR61	0.364	0.699	0.055
SLC25A39	0.286	0.402	0.1
VPS35	0.755	0.053	0.206
ATXN7L3B	0.386	0.442	0.33
CAD	0.115	0.546	0.243
FBXO18	0.328	0.252	0.027
H2AFV	0.529	0.173	0.083
PPP1R12A	0.347	0.163	0.012
SF3A1	0.266	0.333	0.038
BRD2	0.579	0.002	0.021
ST13	0.287	0.678	0.051
TSC22D1	0.128	0.468	0.012
U2AF2	0.441	0.022	0.11
SUPT5H	0.471	0.125	0.037
ASH1L:MIR555	0.191	0.618	0.122
ZNF384	0.2	0.39	0.051
CCDC146	0.15	0.396	0.898
ATP13A1	0.138	0.534	0.023
ITPR3	0.629	0.143	0.065
KLHDC5	0.068	0.373	0.331
TOMM40	0.17	0.681	0.104
IGF2R:LOC729603	0.396	0.266	0.141
UBN1	0.074	0.312	0.182
YLPM1	0.357	0.041	0.011
KPNA6	0.246	0.354	0.075
UNC93B1	0.44	0.534	0.305
C20orf117	0.108	0.332	0.096
SIK3	0.093	0.529	0.168
TOP2A	0.701	0.119	0.052
DEGS1	0.08	0.439	0.017
RAB6A	0.654	0.073	0.19
SLC25A29	0.631	0.197	0.021
MYH10	0.122	0.301	0.326
NCAPD3	0.588	0.127	0.099
RCN2	0.559	0.037	0.221
SSH1	0.112	0.422	0.114
CRABP2	0.819	0.005	0.066
FLJ45340	0.106	0.106	0.247
MKRN1	0.705	0.004	0.227
NCOA6	0.162	0.416	0.064
DTX4	0.249	0.653	0.035
CABIN1	0.444	0.248	0.112
IRF1	0.06	0.036	0.034
ARFGAP1:MIR4326	0.629	0.097	0.081
DCTN4	0.099	0.541	0.13
UQCRH	0.32	0.076	0.422
BBX	0.244	0.348	0.175
SUDS3	0.284	0.244	0.105
BSCL2	0.05	0.45	0.238
CNDP2	0.614	0.205	0.187
TRIM25	0.458	0.088	0.154
EIF3D	0.469	0.174	0.027
DDX23	0.453	0.077	0.227
HSPA4	0.504	0.017	0.195
COPE	0.106	0.551	0.133
DAZAP2	0.186	0.546	0.031
HNRNPD	0.674	0.008	0.39
SMC1A	0.414	0.008	0.036
PDHA1	0.409	0.04	0.161
HNRPDL	0.674	0.067	0.441
PACS2	0.648	0.383	0.187
SLC2A1	0.393	0.55	0.026
TH1L	0.377	0.175	0.058
BCL6	0.185	0.621	0.203
CTSL1	0.207	0.058	0.027
SCAP	0.118	0.437	0.053
SF3A3	0.387	0.308	0.385
APEX1	0.464	0.347	0.126
ARPC3	0.579	0.006	0.341
C19orf6	0.026	0.277	0.035
POLE	0.382	0.58	0.167
ANKRD52	0.19	0.615	0.213
SLC2A3	0.149	0.482	0.01
OGFR	0.582	0.211	0.296
SLC34A2	0.31	0.046	0.04
STIM1	0.059	0.311	0.054
DNAJA3	0.08	0.548	0.2
FBRSL1	0.129	0.247	0.048
MLLT4	0.497	0.323	0.12
LUC7L2	0.684	0.005	0.229
NCOA4	0.232	0.855	0.361
CMTM6	0.653	0.069	0.197
DCAF6	0.625	0.065	0.023
POLG	0.213	0.574	0.029
SEMA3F	0.306	0.594	0.083
LRRFIP1	0.534	0.074	0.181
PDS5A	0.619	0.019	0.108
PNPLA2	0.004	0.063	0.525
UGGT1	0.33	0.063	0.023
UPK3B	0.058	0.103	0.806
RDX	0.347	0.37	0.043
BCAP31	0.71	0.034	0.192
G3BP1	0.567	0.008	0.033
SEC31A	0.187	0.411	0.016
TM9SF2	0.255	0.688	0.232
